problem_type,distress_condition,requested_support,vulnerable_condition,complaint_summary,id
ไม่ได้ระบุ,ติดต่อไม่ได้หลายวันแล้ว ต้องการอาหาร ยา ของใช้,ไม่ได้ระบุ,หลาน,ผู้ร้องขอความช่วยเหลือเป็นหลาน มีปัญหาไม่ได้ระบุ ติดขัดติดต่อไม่ได้หลายวันแล้ว ต้องการอาหาร ยา ของใช้,message_01767
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่มีข้อมูลเพิ่มเติม,message_01768
น้ำท่วม,น้ำท่วมสูงในบ้านชั้น 3 กำลังจะถึงชั้น 2 มีคุณแม่ป่วยติดเตียง 1 คน ผู้ใหญ่ 3 คน ขาดอาหาร น้ำดื่ม ยา ของใช้,อาหาร น้ำดื่ม,ผู้ป่วยติดเตียง,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงในบ้านชั้น 3 กำลังจะถึงชั้น 2 มีคุณแม่ป่วยติดเตียง 1 คน ผู้ใหญ่ 3 คน ขาดอาหาร น้ำดื่ม ยา ของใช้,message_01770
ไม่ได้ระบุ,ไม่ได้ระบุ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเกี่ยวกับอาหาร ยา ของใช้,message_01774
น้ำท่วมหนัก,อยู่ในพื้นที่น้ำท่วมหนัก 4 วัน อาหารไม่เพียงพอ,อาหาร น้ำ ยา,ผู้สูงอายุ ผู้ใหญ่ เด็ก,ผู้ร้องขออาหาร น้ำ ยา เนื่องจากประสบภัยน้ำท่วมหนัก 4 วัน อาหารไม่เพียงพอ มีผู้สูงอายุ 2 ผู้ใหญ่ 2 เด็ก 2,message_01773
น้ำท่วมมิดชั้น1,น้ำท่วมมิดชั้น1 มีผู้สูงอายุและสัตว์เลี้ยงอาศัยอยู่ พร้อมอาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมมิดชั้น1 มีผู้สูงอายุและสัตว์เลี้ยงอาศัยอยู่ พร้อมอาหาร ยา ของใช้,message_01777
ไม่ได้ระบุ,ผู้ป่วยสูงอายุ 2 คน (หนึ่งมีโรคประจำตัว) ไม่ได้ทานอะไรมา 2 วัน ต้องการอาหารจำเพาะ เช่น นม ขนมปัง ไข่ มือถือไม่มีสัญญาณ,อาหาร ยา ของใช้,ผู้ป่วยสูงอายุ,ปัญหาไม่ได้ระบุ ผู้ร้องขอความช่วยเหลือเนื่องจากผู้ป่วยสูงอายุ 2 คน (หนึ่งมีโรคประจำตัว) ไม่ได้ทานอะไรมา 2 วัน ต้องการอาหารจำเพาะ เช่น นม ขนมปัง ไข่ และยาของใช้ มือถือไม่มีสัญญาณ,message_01771
น้ำท่วม,น้ำหน้าทางเข้าหมู่บ้านไหลเชี่ยว ไม่มีการช่วยเหลือ ต้องการอาหาร น้ำดื่ม ยา ของใช้ มีแม่อายุ 67 ปี กลางคน 3 คน และผู้ป่วยติดเตียงข้างบ้าน,อาหาร น้ำดื่ม ยา ของใช้,ผู้สูงอายุ ผู้ป่วยติดเตียง,ผู้ร้องขอความช่วยเหลือในหมู่บ้านปาล์มสปริงส์พรอมานาดเลขที่45/35 เนื่องจากน้ำหน้าทางเข้าหมู่บ้านไหลเชี่ยว ต้องการอาหาร น้ำดื่ม ยา ของใช้ มีแม่อายุ 67 ปี กลางคน 3 คน และผู้ป่วยติดเตียงข้างบ้าน,message_01776
น้ำท่วมชั้น 1,น้ำท่วมชั้น 1 ไม่มีเรือผ่านมาตั้งแต่เมื่อวาน มีผู้สูงอายุ,"อาหาร, ยา, ของใช้",ผู้สูงอายุ,"ผู้ร้องขอความช่วยเหลือรายนี้ประสบปัญหาน้ำท่วมชั้น 1 ไม่มีเรือผ่านมาตั้งแต่เมื่อวาน มีผู้สูงอายุ ต้องการอาหาร, ยา, ของใช้",message_01779
ไม่ได้ระบุ,เสบียงหมดและติดต่อไม่ได้แล้ว อาหาร ยา ของใช้,"อาหาร, ยา, ของใช้",ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากเสบียงหมดและติดต่อไม่ได้แล้ว ต้องการอาหาร ยา ของใช้,message_01778
ไม่ได้ระบุ,อยู่ลำพัง ขาดการติดต่อ 2 วัน มีโรคประจำตัว ขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือรายนี้ประสบปัญหาไม่ได้ระบุ มีผู้สูงอายุเพศหญิงอายุ 74 ปี อยู่ลำพัง ขาดการติดต่อ 2 วัน มีโรคประจำตัว ขาดอาหาร ยา ของใช้,message_01784
น้ำสูง,น้ำสูง 2-3 เมตร เชี่ยวเข้าถึงยาก ขาดอาหารน้ำดื่มมา 3 วัน,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำสูง 2-3 เมตร เชี่ยวเข้าถึงยาก ขาดอาหารน้ำดื่มมา 3 วัน,message_01786
น้ำขึ้นเร็ว,น้ำขึ้นเร็วมาก มีเด็กคนแก่ติดอยู่ในบ้านชั้น2 ไม่ออกได้ มีคนบนหลังคาและแมนชั่นฝั่งตรงข้ามชั้น4 ขาดอาหารและน้ำ,อาหาร ยา ของใช้,เด็ก คนแก่,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำขึ้นเร็วมาก มีเด็กคนแก่ติดอยู่ในบ้านชั้น2 ไม่ออกได้ มีคนบนหลังคาและแมนชั่นฝั่งตรงข้ามชั้น4 ขาดอาหารและน้ำ,message_01780
ไม่ได้ระบุ,พ่อป่วย แขนขาไม่มีแรง ครึ่งซีก โรคประจำตัว ความดัน เบาหวาน หลอดเลือด,อาหาร ยา ของใช้,ผู้ป่วย,ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาไม่ได้ระบุและพ่อป่วยแขนขาไม่มีแรง ครึ่งซีก โรคประจำตัว ความดัน เบาหวาน หลอดเลือด,message_01785
ไม่ได้ระบุ,ต้องการอาหาร น้ำดื่ม ยา ของใช้,อาหาร น้ำดื่ม ยา ของใช้,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือด้านอาหาร น้ำดื่ม ยา และของใช้ เนื่องจากผู้สูงอายุ 2 คน อายุ 69 ปี,message_01782
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้สูงอายุ,มีผู้สูงวัยอาศัยกันสองคนในซอยที่มีประมาณ 10 ครัวเรือน พร้อมอาหาร ยา ของใช้,message_01787
น้ำเพิ่มสูงขึ้น,น้ำเพิ่มสูงขึ้นระดับหัว ไม่มีท่าทีจะลดลง ไม่สามารถติดต่อได้ จิตตก,"อาหาร, ยา, ของใช้",ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำเพิ่มสูงขึ้นระดับหัว ไม่มีท่าทีจะลดลง ไม่สามารถติดต่อได้ จิตตก พร้อมขออาหาร ยา ของใช้,message_01788
ไม่ได้ระบุ,แบตโทรศัพท์เหลือ 13% ไม่มั่นใจว่าจะติดต่อได้ ขาดอาหาร ยา ของใช้,"อาหาร, ยา, ของใช้",ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาไม่ได้ระบุและแบตโทรศัพท์เหลือ 13% ไม่มั่นใจว่าจะติดต่อได้ พร้อมขาดอาหาร ยา ของใช้,message_01791
น้ำท่วม,น้ำท่วมชั้น 2 ผู้ใหญ่ 3 คน เด็ก 2 คน ผู้พิการ 1 คน ไม่สามารถติดต่อได้ แบตหมด ขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้พิการ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมชั้น 2 ผู้ใหญ่ 3 คน เด็ก 2 คน ผู้พิการ 1 คน ไม่สามารถติดต่อได้ แบตหมด ขาดอาหาร ยา ของใช้,message_01789
ไม่ได้ระบุ,ไม่ได้ระบุ,"อาหาร, น้ำดื่ม, ยา, ของใช้",ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือด้านอาหาร น้ำดื่ม ยา และของใช้,message_01794
อาหารขาด,ไม่มีอาหารในหอพัก 20 คน,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขออาหารด่วนเนื่องจากขาดอาหารในหอพัก 20 คน,message_01793
ขาดอาหารและน้ำดื่ม,ตอนนี้ไม่มีอาหารและน้ำดื่ม อาหาร ยา ของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากขาดอาหารและน้ำดื่ม รวมถึงยาและของใช้,message_01796
น้ำท่วม,ขาดอาหารและน้ำดื่ม น้ำเชี่ยวเพิ่มขึ้น บ้านหลายครอบครัวติดอยู่ 3 ชั้น,กระจายอาหาร น้ำดื่ม และยา,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมและน้ำเชี่ยวเพิ่มขึ้น ทำให้หลายครอบครัวติดอยู่ในบ้าน 3 ชั้นขาดอาหารและน้ำดื่ม ต้องการกระจายอาหาร น้ำดื่ม และยาให้ทั่วถึง,message_01790
ขาดอาหาร,ข้าวไม่มี น้ำไม่มี มีคนไม่ได้กินข้าวมากกว่า 30 คน,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากข้าวและน้ำขาด และมีผู้คนมากกว่า 30 คนไม่สามารถรับประทานอาหารได้,message_01795
น้ำระดับเอว,น้ำระดับเอว มีอาหารและยาใกล้หมด 1 เดือนเด็ก,แพมเพิสเด็ก น้ำ อาหาร ยา ของใช้,"เด็ก 1 เดือน, เด็ก 7 ขวบ",ผู้ร้องขอแพมเพิสเด็ก 1 เดือน น้ำ อาหาร ยา ของใช้ เนื่องจากน้ำระดับเอว มีอาหารและยาใกล้หมด,message_01797
ไม่ได้ระบุ,หมู่บ้านอยู่จุดสุดท้ายของน้ำ,ไม่ได้ระบุ,คนแก่ เด็ก ผู้ใหญ่,ประชาชนในหมู่บ้านที่อยู่จุดสุดท้ายของน้ำ (problem_type ไม่ได้ระบุ) ต้องการให้มีการตรวจสอบสถานการณ์,message_01798
น้ำท่วมชั้น 2,ท่วมถึงชั้น 2 มีคนติดอยู่ 20 คน รวมเด็กเล็ก ไม่ได้ทานอาหาร 4 วัน,ไม่ได้ระบุ,เด็กเล็ก,ผู้ร้องขอความช่วยเหลือจากหอพักตึกป้านงเยาว์ที่ท่วมถึงชั้น 2 มีคนติดอยู่ประมาณ 20 คน รวมเด็กเล็ก ไม่ได้ทานอาหารมา 4 วัน,message_01800
ขาดน้ำและอาหาร,แบตหมด ติดต่อไม่ได้ น้ำและอาหารขาด ทั้งคนและแมว,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากขาดน้ำและอาหาร โดยแบตหมด ติดต่อไม่ได้ น้ำและอาหารขาดทั้งคนและแมว,message_01799
น้ำท่วม,น้ำท่วมระดับมิดชั้น 1 ถึงชั้น 2 กระแสน้ำแรง ขาดอาหาร น้ำ และแมวอาหารหมด,"อพยพ, อาหาร, ยา, ของใช้",คนแก่,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมระดับมิดชั้น 1 ถึงชั้น 2 กระแสน้ำแรง ขาดอาหาร น้ำ และแมวอาหารหมด,message_01801
ไม่ได้ระบุ,ไม่ได้ระบุ,อาหาร น้ำ ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือด้านอาหาร น้ำ ยา ของใช้,message_01803
ไม่ได้ระบุ,ไม่ได้ระบุ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือด้านอาหาร ยา และของใช้ โดยปัญหาและสภาพความเดือดร้อนยังไม่ได้ระบุ,message_01802
น้ำขึ้นชั้น 2,น้ำเกือบถึงชั้นสอง ไม่มีข้อมูลจำนวนคน มือถือไม่มีแบตและสัญญาณ ต้องการอาหาร ยา ของใช้,"อพยพ, อาหาร, ยา, ของใช้",ไม่ได้ระบุ,ผู้แจ้งรายนี้รายงานน้ำเกือบถึงชั้นสองในบ้านที่ไม่ทราบจำนวนคน มีมือถือไม่มีแบตและสัญญาณ ต้องการอพยพพร้อมอาหาร ยา และของใช้,message_01806
ไม่ได้ระบุ,สถานการณ์ไม่ทราบที่บ้าน มีคุณพ่อโรคเบาหวาน สุนัขตัวใหญ่ 1 ตัว,"อพยพ, อาหาร, ยา, ของใช้",ผู้ป่วยโรคเบาหวาน,ผู้ร้องขออพยพและความช่วยเหลืออาหาร ยา ของใช้ เนื่องจากสถานการณ์ไม่ทราบที่บ้าน มีคุณพ่อโรคเบาหวานและสุนัขตัวใหญ่ 1 ตัว,message_01804
ไม่ได้ระบุ,ขาดอาหารและน้ำสำหรับ 2 คน รวมยาและของใช้,อาหาร น้ำ ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขออาหาร น้ำ ยา ของใช้สำหรับ 2 คน เนื่องจากขาดอาหารและน้ำ,message_01808
น้ำขึ้นชั้น 2,ไม่มีอาหาร น้ำดื่มหมด ติดชั้น 2 หลายวัน,อพยพ อาหาร น้ำดื่ม,คนแก่ ผู้ใหญ่ เด็ก,ผู้ร้องขออพยพเนื่องจากน้ำขึ้นชั้น 2 มีคนแก่ 2 คน เด็ก 1 คน ผู้ใหญ่ 2 คน ไม่มีอาหาร น้ำดื่มหมด และติดชั้น 2 หลายวัน,message_01807
น้ำท่วมสูง,ชาวบ้านติดอยู่ไม่มีใครเข้าถึง น้ำท่วมสูง โดยเฉพาะซอยตัน ซอย3ถนนรถไฟ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงทำให้ชาวบ้านติดอยู่ไม่มีใครเข้าถึง โดยเฉพาะซอยตัน ซอย3ถนนรถไฟ ต้องการอาหาร ยา ของใช้,message_01805
ไม่ได้ระบุ,ขาดอาหาร ยา ของใช้,"อาหาร, ยา, ของใช้",ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากขาดอาหาร ยา ของใช้,message_01813
น้ำขึ้นชั้น 2,น้ำไฟถูกตัดมาเป็นวันแล้วไม่สามารถติดต่อได้ ระดับน้ำเพิ่มขึ้นถึงชั้น 2 มีขาดอาหาร ยา ของใช้,อาหาร น้ำ ยา,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลืออาหาร น้ำ ยาโดยด่วน เนื่องจากน้ำขึ้นชั้น 2 และน้ำไฟถูกตัดมาเป็นวันแล้วไม่สามารถติดต่อได้ พร้อมขาดอาหาร ยา ของใช้,message_01809
ไม่ได้ระบุ,ติดต่อไม่ได้ 3 วัน ขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาไม่ได้ระบุและสภาพความเดือดร้อนคือติดต่อไม่ได้ 3 วันและขาดอาหาร ยา ของใช้,message_01816
น้ำท่วม,น้ำท่วมถึงชั้น2 ขาดน้ำ 2 วัน อาหารหมดเมื่อวาน ผู้ประสบภัย 80+ คนรวมเด็ก,อพยพ,เด็ก,โรงแรมลลิตา บูทีค ซอยราษยินดี30 เขต8 ประสบน้ำท่วมถึงชั้น2 ขาดน้ำ 2 วัน อาหารหมดเมื่อวาน ผู้ประสบภัย 80+ คนรวมเด็ก ต้องการอพยพออกจากพื้นที่,message_01815
น้ำท่วม,ติดน้ำท่วมในบ้าน 410 ถนนรัถการ ระหว่างซอย 11-1 กับซอย 12 ติดต่อไม่ได้ 2 วัน ต้องการอาหาร ยา ของใช้,อาหาร ยา ของใช้,คนแก่,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมติดบ้าน 410 ถนนรัถการ ระหว่างซอย 11-1 กับซอย 12 มีคนแก่อายุ 68 ปี ติดต่อไม่ได้ 2 วัน ต้องการอาหาร ยา ของใช้,message_01811
ไม่ได้ระบุ,ขาดแคลนอาหาร น้ำดื่ม ยา และของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากขาดแคลนอาหาร น้ำดื่ม ยา และของใช้,message_01820
ไม่ได้ระบุ,ไม่มีอาหารและน้ำ ไม่ทราบว่าบ้านน้ำท่วมหรือไม่,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากไม่มีอาหารและน้ำ ไม่ทราบว่าบ้านน้ำท่วมหรือไม่ มีผู้สูงอายุ 1 คน,message_01814
ไม่ได้ระบุ,ผู้ใหญ่ 2 คน ผู้สูงอายุเดินลำบาก 1 คน,อาหาร ยา ของใช้,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือด้านอาหาร ยา และของใช้สำหรับผู้ใหญ่ 2 คนและผู้สูงอายุเดินลำบาก 1 คน,message_01825
ไม่ได้ระบุ,แบตหมด ติดต่อไม่ได้ คนในหมู่บ้านขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากแบตหมดและไม่สามารถติดต่อได้ พร้อมทั้งขาดอาหาร ยา และของใช้ในหมู่บ้าน,message_01828
ไม่ได้ระบุ,ไม่มีคนเฝ้าดู ไม่สามารถติดต่อได้ ต้องการอาหาร ยา ของใช้,อาหาร ยา ของใช้,ชายอายุ 82 โรคปอด ไต และหญิงอายุ 79 โรคความดันสูง สมองเสื่อม,ผู้ร้องขอความช่วยเหลือเนื่องจากไม่มีคนเฝ้าดู ไม่สามารถติดต่อได้ และต้องการอาหาร ยา ของใช้,message_01826
อาหารขาด,ไม่ได้กินอะไรมา 2 วัน และขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาอาหารขาดและสภาพความเดือดร้อนที่ไม่ได้กินอะไรมา 2 วันและขาดอาหาร ยา ของใช้,message_01827
น้ำท่วมชั้น 2,น้ำท่วมชั้น 2 มีแมว 1 ตัว ผู้ใหญ่ 5 คน มีอาหาร ยา ของใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,เหตุการณ์น้ำท่วมชั้น 2 มีแมว 1 ตัว ผู้ใหญ่ 5 คน มีอาหาร ยา ของใช้,message_01830
ไม่ได้ระบุ,ขาดอาหาร ยา ของใช้,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากขาดอาหาร ยา ของใช้,message_01831
น้ำขึ้นระดับเอว,น้ำอยู่ที่เอว ไม่ได้ทานข้าวตั้งแต่เมื่อคืน สัญญาณโทรศัพท์และอินเตอร์เน็ตตัด,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำขึ้นระดับเอว สัญญาณโทรศัพท์และอินเตอร์เน็ตตัด ไม่ได้ทานข้าวตั้งแต่เมื่อคืน ต้องการอาหาร ยา ของใช้,message_01833
ไม่ได้ระบุ,ผู้ติดค้าง 100+ คน มีผู้ป่วยติดเตียง ขาดอาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ป่วยติดเตียง,ผู้ร้องขอความช่วยเหลือเนื่องจากมีผู้ติดค้าง 100+ คน มีผู้ป่วยติดเตียง ขาดอาหาร ยา ของใช้,message_01835
ไม่ได้ระบุ,บ้านมี 3 ผู้สูงอายุอายุ 60 ปี สามารถช่วยตัวเองได้ แต่ต้องการอพยพหรืออาหาร ยา ของใช้,"อพยพ, อาหาร, ยา, ของใช้",ผู้สูงอายุ,ผู้ร้องขออพยพหรืออาหาร ยา ของใช้ เนื่องจากบ้านมี 3 ผู้สูงอายุอายุ 60 ปี สามารถช่วยตัวเองได้,message_01832
ไม่ได้ระบุ,ติดอยู่ชั้น 2 สองวัน ไม่มีน้ำดื่ม ไม่มีอาหาร ผู้สูงอายุและเด็กรวม 8 คน,อพยพ,ผู้สูงอายุ เด็ก,ผู้ร้องขออพยพเนื่องจากปัญหาที่ไม่ได้ระบุและติดอยู่ชั้น 2 สองวัน ไม่มีน้ำดื่ม ไม่มีอาหาร ผู้สูงอายุและเด็กรวม 8 คน,message_01836
น้ำสูง,ติดต่อไม่ได้ แบตมือถือหมด น้ำสูง 2–3 เมตร ไฟโดนตัด,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำสูง 2–3 เมตรและไฟโดนตัด ติดต่อลูกบ้านไม่ได้ แบตมือถือหมด,message_01840
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,บ้านสองหลังมีคนประมาณ 4 คน แมว 5 ตัว มีอาหาร ยา ของใช้,message_01838
น้ำขึ้นชั้น 2,น้ำถึงชั้นสอง ไฟน้ำตัด โทรศัพท์ติดต่อไม่ได้ ติดอยู่หอพัก 4 วัน ไม่มีอาหาร ยา ของใช้,"อพยพ, อาหาร, น้ำ",ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือที่หอพักประสบปัญหาน้ำถึงชั้นสอง ไฟน้ำตัด โทรศัพท์ติดต่อไม่ได้ ติดอยู่หอพัก 4 วัน ไม่มีอาหาร ยา ของใช้ ทำให้ต้องอพยพออก,message_01843
น้ำ,ไม่ได้อาหารหรือยา,ไม่ได้ระบุ,เด็ก คนชรา ผู้ใหญ่,พื้นที่รับน้ำจากเมืองและทะเล มีปัญหาน้ำและขาดอาหารหรือยา ผู้ร้องขอเข้าไปดูประชาชนในพื้นที่ รวมทั้งเด็ก คนชรา และผู้ใหญ่ พร้อมอัพเดตข้อมูลอาหาร ยา ของใช้,message_01837
ไม่ได้ระบุ,ไม่ได้ระบุ,อาหาร น้ำ ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอรับอาหาร น้ำ ยา และของใช้เบื้องต้น,message_01841
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,คนแก่ คนพิการ,ผู้ร้องขอความช่วยเหลือเกี่ยวกับคนแก่ คนพิการ และสัตว์เลี้ยงในบ้าน 3 คน รวมอาหาร ยา ของใช้,message_01845
ไม่ได้ระบุ,ขาดน้ำและอาหาร 2 วัน,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาไม่ระบุและขาดน้ำและอาหาร 2 วัน,message_01846
ไม่ได้ระบุ,ติดต่อพ่อกับแม่ไม่ได้,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาไม่ระบุและไม่สามารถติดต่อพ่อแม่ได้ พร้อมขออาหาร ยา ของใช้,message_01842
ไฟฟ้าตัด,ติดอยู่ในโรงไฟฟ้า 200 คน ไฟฟ้าตัด ไม่สามารถติดต่อได้ ไม่มีอาหาร น้ำ,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากมีผู้ติดอยู่ในโรงไฟฟ้า 200 คน ไฟฟ้าตัด ไม่สามารถติดต่อได้ ไม่มีอาหารและน้ำ จึงต้องการอาหาร ยา ของใช้,message_01848
น้ำขึ้นสูง,ติด 2 วัน ไม่สามารถอพยพเองได้ น้ำขึ้นสูงบางบ้านถึงชั้น 2 ขาดแคลนอาหาร น้ำดื่ม ไฟฉาย เทียน มีหลานครัวเรือนได้รับความลำบาก สัญญาณไม่มี,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำขึ้นสูงบางบ้านถึงชั้น 2 ติด 2 วัน ไม่สามารถอพยพเองได้ ขาดแคลนอาหาร น้ำดื่ม ไฟฉาย เทียน มีหลานครัวเรือนได้รับความลำบาก สัญญาณไม่มี,message_01849
ไม่ได้ระบุ,อยู่ชั้น 4 มีคนประมาณ 20 คน ต้องการอาหาร น้ำ ยา ของใช้,อาหาร น้ำ ยา ของใช้,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือที่ร้านซอยฉายกุลพัฒนา มีประมาณ 20 คนอยู่ชั้น 4 ต้องการอาหาร น้ำ ยา ของใช้,message_01850
ไม่ได้ระบุ,ผู้ใหญ่และผู้สูงอายุรวมกัน 5 คน เสบียงอาหาร น้ำ ยา ของใช้กำลังจะหมด,อาหาร น้ำ ยา ของใช้,ผู้ใหญ่ ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาที่ไม่ได้ระบุและเสบียงอาหาร น้ำ ยา ของใช้กำลังจะหมดในบ้านที่มีผู้ใหญ่และผู้สูงอายุรวมกัน 5 คน,message_01851
ไม่ได้ระบุ,ติดอยู่ในห้อง ไม่สามารถโทรติดต่อได้ อาหาร ยา ของใช้ขาด,"อาหาร, ยา, ของใช้",ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากปัญหาที่ไม่ระบุและติดอยู่ในห้อง ไม่สามารถโทรติดต่อได้ และขาดอาหาร ยา ของใช้,message_01854
น้ำขาด,น้ำและอาหารจะหมด,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำขาดและอาหารจะหมด,message_01855
น้ำขึ้นชั้น 2,น้ำกำลังจะท่วมถึงพื้นบ้านชั้นสอง ไม่สามารถติดต่อได้ ขาดอาหาร ยา ของใช้ คนชรา 2 คน,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำกำลังจะท่วมถึงพื้นบ้านชั้นสอง ไม่สามารถติดต่อได้ ขาดอาหาร ยา ของใช้ มีคนชรา 2 คน,message_01856
ไม่ได้ระบุ,ขาดน้ำและอาหารแห้งจำนวนมาก รวมถึงเทียน ไฟแชค อาหาร ยา ของใช้,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพบางส่วนพร้อมขอรับน้ำและอาหารแห้งจำนวนมาก รวมถึงเทียน ไฟแชค อาหาร ยา ของใช้,message_01862
ไม่ได้ระบุ,ไม่ได้ระบุ,อาหาร ยา ของใช้,เด็ก,ผู้ร้องขออาหาร ยา ของใช้เร่งด่วนสำหรับเด็ก,message_01859
ไม่ได้ระบุ,ติดต่อไม่ไดั ต้องการอาหาร ยา ของใช้,อาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้แจ้งต้องการอาหาร ยา ของใช้ เนื่องจากไม่สามารถติดต่อได้,message_01865
ไม่ได้ระบุ,อยู่บ้านเพียงลำพัง 2 คน ไม่มีอาหาร ยา ของใช้,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้สูงอายุ 2 ท่านอยู่บ้านเพียงลำพังขาดอาหาร ยา และของใช้,message_01867
ไม่มีน้ำ,ไม่มีน้ำ ไฟฟ้า อาหารขาดมาหลายวัน,อาหาร ยา น้ำ ไฟฟ้า,ผู้สูงอายุ ผู้ใหญ่ เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากไม่มีน้ำ ไฟฟ้า และอาหารขาดมาหลายวัน มีผู้สูงอายุ 2 คน ผู้ใหญ่ 2 คน เด็ก 2 คน,message_01864
ไม่ได้ระบุ,ต้องการน้ำและอาหาร มีคนประมาณ 20 คน รวมทั้งคนชราและเด็ก,"น้ำ, อาหาร, ยา, ของใช้","คนชรา, เด็ก",ผู้ร้องขอความช่วยเหลือเนื่องจากมีคนประมาณ 20 คนที่ได้รับการอพยพจากถนนฉายกุลพัฒนามาอยู่ที่นี่ ต้องการน้ำและอาหาร รวมทั้งคนชราและเด็ก,message_01866
